Epidemiology Week,Parish,Number of Suspected Cases
27,Clarendon,
28,Clarendon,
29,Clarendon,
30,Clarendon,
31,Clarendon,
32,Clarendon,
33,Clarendon,
34,Clarendon,
35,Clarendon,
36,Clarendon,
37,Clarendon,2
38,Clarendon,1
39,Clarendon,4
40,Clarendon,1
41,Clarendon,1
42,Clarendon,
43,Clarendon,
44,Clarendon,1
45,Clarendon,
46,Clarendon,1
47,Clarendon,
48,Clarendon,
49,Clarendon,
27,Hanover,
28,Hanover,
29,Hanover,
30,Hanover,
31,Hanover,
32,Hanover,
33,Hanover,
34,Hanover,
35,Hanover,1
36,Hanover,
37,Hanover,3
38,Hanover,6
39,Hanover,11
40,Hanover,20
41,Hanover,19
42,Hanover,14
43,Hanover,1
44,Hanover,4
45,Hanover,3
46,Hanover,12
47,Hanover,2
48,Hanover,3
49,Hanover,2
27,Kingston & Saint Andrew,1
28,Kingston & Saint Andrew,
29,Kingston & Saint Andrew,
30,Kingston & Saint Andrew,1
31,Kingston & Saint Andrew,2
32,Kingston & Saint Andrew,6
33,Kingston & Saint Andrew,15
34,Kingston & Saint Andrew,22
35,Kingston & Saint Andrew,30
36,Kingston & Saint Andrew,46
37,Kingston & Saint Andrew,38
38,Kingston & Saint Andrew,59
39,Kingston & Saint Andrew,39
40,Kingston & Saint Andrew,29
41,Kingston & Saint Andrew,10
42,Kingston & Saint Andrew,5
43,Kingston & Saint Andrew,
44,Kingston & Saint Andrew,
45,Kingston & Saint Andrew,1
46,Kingston & Saint Andrew,
47,Kingston & Saint Andrew,
48,Kingston & Saint Andrew,
49,Kingston & Saint Andrew,
27,Manchester,
28,Manchester,
29,Manchester,
30,Manchester,
31,Manchester,
32,Manchester,1
33,Manchester,
34,Manchester,
35,Manchester,
36,Manchester,1
37,Manchester,2
38,Manchester,5
39,Manchester,9
40,Manchester,3
41,Manchester,1
42,Manchester,
43,Manchester,1
44,Manchester,
45,Manchester,
46,Manchester,
47,Manchester,
48,Manchester,
49,Manchester,
27,Portland,
28,Portland,
29,Portland,
30,Portland,
31,Portland,
32,Portland,1
33,Portland,3
34,Portland,1
35,Portland,3
36,Portland,1
37,Portland,1
38,Portland,7
39,Portland,
40,Portland,
41,Portland,
42,Portland,
43,Portland,
44,Portland,
45,Portland,
46,Portland,
47,Portland,
48,Portland,
49,Portland,
27,Saint Ann,
28,Saint Ann,1
29,Saint Ann,1
30,Saint Ann,
31,Saint Ann,
32,Saint Ann,1
33,Saint Ann,2
34,Saint Ann,
35,Saint Ann,3
36,Saint Ann,5
37,Saint Ann,8
38,Saint Ann,12
39,Saint Ann,2
40,Saint Ann,4
41,Saint Ann,5
42,Saint Ann,3
43,Saint Ann,5
44,Saint Ann,5
45,Saint Ann,3
46,Saint Ann,1
47,Saint Ann,2
48,Saint Ann,1
49,Saint Ann,
27,Saint Catherine,
28,Saint Catherine,
29,Saint Catherine,
30,Saint Catherine,1
31,Saint Catherine,5
32,Saint Catherine,22
33,Saint Catherine,25
34,Saint Catherine,21
35,Saint Catherine,15
36,Saint Catherine,11
37,Saint Catherine,26
38,Saint Catherine,31
39,Saint Catherine,13
40,Saint Catherine,1
41,Saint Catherine,2
42,Saint Catherine,
43,Saint Catherine,1
44,Saint Catherine,
45,Saint Catherine,
46,Saint Catherine,1
47,Saint Catherine,
48,Saint Catherine,
49,Saint Catherine,
27,Saint Elizabeth,
28,Saint Elizabeth,1
29,Saint Elizabeth,
30,Saint Elizabeth,
31,Saint Elizabeth,
32,Saint Elizabeth,
33,Saint Elizabeth,
34,Saint Elizabeth,1
35,Saint Elizabeth,
36,Saint Elizabeth,2
37,Saint Elizabeth,5
38,Saint Elizabeth,4
39,Saint Elizabeth,2
40,Saint Elizabeth,8
41,Saint Elizabeth,7
42,Saint Elizabeth,13
43,Saint Elizabeth,26
44,Saint Elizabeth,21
45,Saint Elizabeth,13
46,Saint Elizabeth,7
47,Saint Elizabeth,6
48,Saint Elizabeth,
49,Saint Elizabeth,
27,Saint James,
28,Saint James,
29,Saint James,
30,Saint James,
31,Saint James,
32,Saint James,1
33,Saint James,1
34,Saint James,
35,Saint James,3
36,Saint James,8
37,Saint James,21
38,Saint James,35
39,Saint James,29
40,Saint James,48
41,Saint James,48
42,Saint James,57
43,Saint James,26
44,Saint James,20
45,Saint James,20
46,Saint James,17
47,Saint James,7
48,Saint James,6
49,Saint James,
27,Saint Mary,
28,Saint Mary,
29,Saint Mary,
30,Saint Mary,
31,Saint Mary,
32,Saint Mary,
33,Saint Mary,
34,Saint Mary,
35,Saint Mary,2
36,Saint Mary,2
37,Saint Mary,3
38,Saint Mary,6
39,Saint Mary,3
40,Saint Mary,6
41,Saint Mary,3
42,Saint Mary,2
43,Saint Mary,8
44,Saint Mary,1
45,Saint Mary,2
46,Saint Mary,
47,Saint Mary,
48,Saint Mary,1
49,Saint Mary,
27,Saint Thomas,
28,Saint Thomas,
29,Saint Thomas,
30,Saint Thomas,1
31,Saint Thomas,1
32,Saint Thomas,11
33,Saint Thomas,4
34,Saint Thomas,1
35,Saint Thomas,1
36,Saint Thomas,5
37,Saint Thomas,1
38,Saint Thomas,7
39,Saint Thomas,2
40,Saint Thomas,
41,Saint Thomas,
42,Saint Thomas,1
43,Saint Thomas,
44,Saint Thomas,
45,Saint Thomas,
46,Saint Thomas,
47,Saint Thomas,
48,Saint Thomas,
49,Saint Thomas,
27,Trelawny,1
28,Trelawny,
29,Trelawny,
30,Trelawny,
31,Trelawny,
32,Trelawny,
33,Trelawny,
34,Trelawny,
35,Trelawny,1
36,Trelawny,2
37,Trelawny,2
38,Trelawny,6
39,Trelawny,9
40,Trelawny,12
41,Trelawny,26
42,Trelawny,18
43,Trelawny,17
44,Trelawny,13
45,Trelawny,1
46,Trelawny,7
47,Trelawny,1
48,Trelawny,
49,Trelawny,
27,Westmoreland,
28,Westmoreland,
29,Westmoreland,
30,Westmoreland,
31,Westmoreland,
32,Westmoreland,
33,Westmoreland,
34,Westmoreland,
35,Westmoreland,
36,Westmoreland,1
37,Westmoreland,1
38,Westmoreland,4
39,Westmoreland,
40,Westmoreland,3
41,Westmoreland,6
42,Westmoreland,4
43,Westmoreland,5
44,Westmoreland,16
45,Westmoreland,8
46,Westmoreland,11
47,Westmoreland,23
48,Westmoreland,12
49,Westmoreland,
